example_id,tweet_id,customer_text,gold_intent,model_intent,model_confidence,evidence_level,top_similarity,top_evidence_customer,top_evidence_response,model_action,model_reply,evidence_exists,overlap_ratio,intent_keyword_matches,intent_grounded,historical_grounding,strong_evidence_candidate,review_priority
gold_055,2304904,Really disappointed with the battery life of the new software update on my iPhone 6 @115858 #ios11,battery_charging,software_update,0.5718,strong,1.0,Really disappointed with the battery life of the new software update on my iPhone 6 @115858 #ios11,"@668741 We understand that having a long-lasting battery is vital. Please navigate to Settings &gt; General &gt; About , DM us to let us know which version you are using. We’ll go from there. https://t.co/GDrqU22YpT",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,"update, software, ios, ios11",1,1,1,low
gold_056,2041059,@AppleSupport I factory rested it rested but it did nothing,hardware_device,hardware_device,0.5948,moderate,0.3982,@AppleSupport That did nothing https://t.co/hY9z2lWrt2,@261801 Thanks for trying that out. Have you already attempted to select the option to decline setup for Apple Pay?,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,0.5,,0,1,0,medium
gold_057,688912,"@AppleSupport hope you will remove the lag from the last update ! 
We can’t even write a text without lagging #appleupdatelag",software_update,software_update,0.4222,weak,0.2188,@AppleSupport I️ hope you are fixing the letter I️. I️ am annoyed.,@518700 We received your DM. Be on the lookout for our response there.,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.1429,update,1,0,0,high
gold_058,1587435,"Good call on the software update @115858 ....I’m barely able to send this disgruntled tweet because my phone is shot, thanks",software_update,software_update,0.5834,weak,0.2273,@AppleSupport 11.0.2 is the software update I have,@304388 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.1429,"update, software",1,0,0,high
gold_059,2293066,@115858 Bro i can’t even spell “it” like I.T keeps coming up . I txt too fast to check that shit every time,keyboard_input,hardware_device,0.1557,weak,0.2843,@115858 I’m so annoyed I can’t even spell in*,"@669379 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.3077,,0,0,0,high
gold_060,2555482,"Restarted iPhone as was lagging, now I only have 14 photos and videos.... 🧐 @AppleSupport there is a big bug with iso11 where are my 10k + photos and videos??? 😒😒 https://t.co/whj2s8hxpv",apps_services,apps_services,0.5068,weak,0.297,@AppleSupport I updated my phone and now all my photos and videos have warning sign,@411966 Thanks for reaching out to us. We'd like to help you and look into this further. Please DM us to continue working on this. https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.3333,"photos, app",1,0,0,high
gold_061,816193,"Dear @115858, I ABHOR the iPhone 8. It sucks. 43% by 1:20 pm. That is all. #iphone #apple #iphone8",battery_charging,software_update,0.1708,none,0.0,,,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.0,,0,0,0,high
gold_062,156014,"Dear @AppleSupport and @115858  when are you planning on fixing your horribly planned iOS that you just HAD to roll out before it was ready. 👉🏻 I  👈🏻would love to be able to use ALL of the letters on my keyboard that I paid $1,000 to use. 

Sincerely-
“Every iPhone owner”",keyboard_input,keyboard_input,0.4188,moderate,0.3749,@115858 when are you planning on fixing I️?,@532773 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/uQeXsrrlXJ,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,0.1667,"letters, keyboard",1,1,0,medium
gold_063,188331,@AppleSupport Sorry for the delay busy day. I rebooted and Siri is still calling it the 10th of April,apps_services,connectivity_calls,0.2613,moderate,0.3099,@AppleSupport Sorry. 11.1.1,@734398 Thanks! Join us in DM with more details. We're curious if you notice the iPhone behaving slow in certain apps or while performing certain functions. https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,0.2,call,1,1,0,medium
gold_064,2890648,@AppleSupport 11.1.1 was the letter “I” now 11.1.2 can’t run anything...please release a new iOS to fix this problem! I’m not the only one too! #shesbrok’,apps_services,software_update,0.4817,weak,0.2498,@115858 I'm not the only one. https://t.co/lm3ALscoF2,@474337 We'd like to see what you're experiencing. Are you able to capture the blur with a screen recording? https://t.co/iOka2N34Y3,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.1,ios,1,0,0,high
gold_065,765461,@AppleSupport How do I delete old non-existing #iCloud from my iPad? The pop-up is driving me insane! Password doesnt work. Cant delete it😡,account_icloud,account_icloud,0.9013,weak,0.2813,@AppleSupport TAHT DOESNT WORK,@468638 We'd be happy to look into this with you. DM us and we'll go from there. https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.2308,"apple, icloud, password",1,0,0,high
gold_066,1962066,@AppleSupport YOUR UPDATE IS FUCKING UP MY PHONE,software_update,software_update,0.9443,strong,1.0,@AppleSupport YOUR UPDATE IS FUCKING UP MY PHONE,@581837 We want to help! What model of iOS device are you using? Do you have the most recent version of iOS 11.0.3 downloaded? https://t.co/GDrqU22YpT,auto_handle,Thanks for reaching out. We'd like to help with the software update issue. Similar AppleSupport cases were handled by checking the device and iOS version and understanding what happens during or after the update. Please let us know your device model and current iOS version.,1,1.0,update,1,1,1,low
gold_067,1124376,@385124 @115858 The WiFi constantly turns itself back on too - helpful!,connectivity_calls,connectivity_calls,0.8683,moderate,0.3885,.@AppleSupport Is Wi-fi turning itself back on automatically because of wi-fi calling? I turn it off and it turns itself back on.,@165462 Let us know what steps you're taking to disable Wi-Fi. We'll be happy to look into this with you.,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,0.375,wifi,1,1,0,medium
gold_068,1976165,"@115858 Why when I’m ready to press “I” it puts this shit -&gt; I️? Please fix the issue 
- Aggravated customer",keyboard_input,keyboard_input,0.2671,strong,1.0,@115858 Why when I’m ready to press “I” it puts this shit -&gt; I️? Please fix the issue - Aggravated customer,@585207 We are here to help whenever possible. DM which iPhone and specific iOS version you are using currently to get started. https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,,0,1,1,low
gold_069,1570324,@115858 pls fix the battery life. annoying af,battery_charging,battery_charging,0.9928,strong,1.0,@115858 pls fix the battery life. annoying af,@284502 We'd like to look into this with you. What's your current iOS version?,auto_handle,Thanks for reaching out. We understand your battery is draining quickly. We'd like to look into this with you. Please let us know which iPhone model and iOS version you're using.,1,1.0,battery,1,1,1,low
gold_070,883969,"@AppleSupport ok, hope in 10.0.4 ver. Can fix apps stuck or freeze. And volume goes down by itself.",apps_services,hardware_device,0.2991,strong,1.0,"@AppleSupport ok, hope in 10.0.4 ver. Can fix apps stuck or freeze. And volume goes down by itself.",@329913 We want to help. Reach out via DM using the link below. https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,,0,1,1,low
gold_071,2420089,@115858 my phone keeps autocorrecting ‘it’ to I.t and this bug just started with the last night update and hasn’t been fixed with any of the bug fixer ones prior to that ?? None of the autocorrect hacks are working on it pls help,keyboard_input,keyboard_input,0.743,none,0.0,,,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.0,autocorrect,1,0,0,high
gold_072,1910804,".@AppleSupport Quickly type in any three numbers in the #iOS11 calculator. i.e. 1+2+3, you will not get 6 or any other correct val! Tested? https://t.co/DOeNpjKP5W",apps_services,software_update,0.2514,strong,1.0,".@AppleSupport Quickly type in any three numbers in the #iOS11 calculator. i.e. 1+2+3, you will not get 6 or any other correct val! Tested? https://t.co/DOeNpjKP5W",@223740 We'd like to look into this with you. Meet us in DM and let us know which device you're using the calculator on. https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,"ios, ios11",1,1,1,low
gold_073,248728,"@AppleSupport Every app tried it with updating -Asphalt 8 , google maps, And downloading-Xe currency,bad piggies and YouTube",apps_services,hardware_device,0.3177,strong,1.0,"@AppleSupport Every app tried it with updating -Asphalt 8 , google maps, And downloading-Xe currency,bad piggies and YouTube","@175087 Have you tried restarting your device and trying again? Also, what's the exact iOS version installed?",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,,0,1,1,low
gold_074,2679283,"Hey @115858, this update is killing my phone &amp; everything moves so slowly but I’m not buying a new $1000 phone. Good try though",software_update,software_update,0.7932,moderate,0.3862,@115858 this new update is killing my phone battery 😡,@561158 We know how important battery life is. We'd love to assist you with yours. Click here to join us in DM: https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,0.3333,update,1,1,0,medium
gold_075,652940,@275254 @AppleSupport I’ve got 11.1.2 &amp; it still occurs on my iPhone 6S &amp; iPhone X so I feel it’s S/ware,software_update,hardware_device,0.2045,strong,1.0,@275254 @AppleSupport I’ve got 11.1.2 &amp; it still occurs on my iPhone 6S &amp; iPhone X so I feel it’s S/ware,@275253 We'd like to look into this. DM us and we'll go from there. https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,"iphone, phone",1,1,1,low
gold_076,2961408,"@AppleSupport I received an email about a subscription email that I haven't purchased. The email address and email its self seems strange, so I don't want to click anything on it. Is there a way you can help me?",account_icloud,purchases_billing,0.7669,weak,0.2796,"Hi @AppleSupport, I received an email.. email address is: __email__ i'm 100% assured it's a pishing email... Where can i report this? https://t.co/1QXmtKPv3b",@512509 We've got you covered. You can use this link here to report phishing emails: https://t.co/LNMCdqt6fD,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.2353,"subscription, purchase",1,0,0,high
gold_077,1828295,"@AppleSupport on my phone, in Safari, it doesn’t want to let me copy, paste or search into the address bar at the top. Help!",apps_services,hardware_device,0.2191,weak,0.2358,@AppleSupport what’s the deal with the white bar at the top of my screen? https://t.co/395oSDn15r,@712214 Thanks for reaching out. May we ask if you're seeing this in all apps or only a specific number of apps?,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.0909,phone,1,0,0,high
gold_078,2898983,"Dear @115858, the battery on the iPhone 6 sucks.
That is all.",battery_charging,battery_charging,0.8884,weak,0.2698,@AppleSupport the glass my iPhone 8 sucks. Already shattered. 😥🙄🙃,"@257965 We’re sorry to hear about your iPhone. We’ll be happy to partner with you, and share all of the options available to get it serviced. Join us in DM using this link to start: https://t.co/GDrqU22YpT",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.4,battery,1,0,0,high
gold_079,260874,@115858 iOS 11 sucks. Literally sucks the life out of my battery. You would think you would get this by now. #stevejobsisrollinginhisgrave,battery_charging,battery_charging,0.5224,weak,0.2602,Trust @115858 to suck the life out of my battery after this new update 😒,@677366 Having reliable battery life is important! Let us know which device you’re using and your software version in DM. We’ll take a closer look at this with you there. https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.375,battery,1,0,0,high
gold_080,2756844,@AppleSupport @115858 so why should I download this if I don’t have an X? https://t.co/JLBtkqhnxa,software_update,hardware_device,0.3589,moderate,0.3069,@AppleSupport please advise if I don’t have a computer? https://t.co/ZXvWwGWk1M,@312177 Thanks for reaching out. You can't use iTunes Wi-Fi Sync without a computer. Read more here: https://t.co/048FvsiWf8,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,0.4286,,0,1,0,medium
gold_081,1735930,@AppleSupport why is my iPhone buggin tf out 😐😒,hardware_device,hardware_device,0.5099,strong,1.0,@AppleSupport why is my iPhone buggin tf out 😐😒,"@524110 Let’s work together to get everything working as expected again. To start, can you tell us a bit about what is happening?",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,"iphone, phone",1,1,1,low
gold_082,1776828,"@AppleSupport Hi. If I sign out from my Apple ID on my iPhone, would I loose any data?",account_icloud,account_icloud,0.9015,weak,0.2154,@AppleSupport how can I transfer my bank details from my old Apple ID on to my new Apple ID?,"@260535 That's a great question! To make sure we provide the best support, are you looking to add your card details for iTunes and App Store purchases? If so, the steps for adding payment information can be found here: https://t.co/Y0YoIRcZa7",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.2857,apple,1,0,0,high
gold_083,1447311,@AppleSupport bro fix this shit &amp; my phone slow with this dumb ass update,software_update,software_update,0.593,moderate,0.3921,@AppleSupport BRO I DID,@684411 We're glad you had the chance to update the iOS. Let's take a closer look into this issue within a DM. Select the following link to join us there. https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,0.1429,update,1,1,0,medium
gold_084,456133,"""The mail password is incorrect"" no it isn't @115858 I changed it... you're just having a problem keeping up FS! #iPhone",apps_services,account_icloud,0.484,weak,0.2025,Sooo you’re just not gonna fix this “I.T” problem huh @115858,"@238859 We're happy to look at this with you. Meet us in DM with some details. Tell us if you've done any troubleshooting for this, and we'll go from there. https://t.co/GDrqU22YpT",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.25,password,1,0,0,high
gold_085,1803206,@115858 ever since I got the new update my 4G has been extremely slower and I have to keep turning my phone off because my 4G stops working,connectivity_calls,software_update,0.6957,moderate,0.3155,"Ever since I got the update, my phone has been TRASH ❗️🗑 Thanks, @115858",@566708 Let's see what we can do to help. Send us a DM with more details about what you are experiencing to get started. https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,0.4286,update,1,1,0,medium
gold_086,284934,"@AppleSupport It’s iOS 11.0.2 like the ones below it’s junk, not ready for Public use. Getting sick of this with your “cheap” devices NOT",software_update,software_update,0.5019,strong,1.0,"@AppleSupport It’s iOS 11.0.2 like the ones below it’s junk, not ready for Public use. Getting sick of this with your “cheap” devices NOT",@183883 We want to get to the bottom of the issues you are seeing. Join us in DM and we'll get started? https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,ios,1,1,1,low
gold_087,1295064,"@AppleSupport the whole phone. Sometimes the apps just crash, other times the phone just freezes. iPhone 7 may be unable to host ios11. Too many bugs.",software_update,software_update,0.3569,strong,1.0,"@AppleSupport the whole phone. Sometimes the apps just crash, other times the phone just freezes. iPhone 7 may be unable to host ios11. Too many bugs.","@422749 Follow up with us in DM. Tell us the version of iOS 11, and which apps are in use the most when this happens. https://t.co/GDrqU22YpT",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,"ios, ios11",1,1,1,low
gold_088,1484393,@115858 Am I the only person having this problem,other,apps_services,0.1766,moderate,0.3694,"Am I️ the only person this dumb shit is happening to, whenever the letter “I️” is typed? @115858 WTF is this? https://t.co/d9Q5VtAOYI",@591333 We'd like to take a look at this with you. Please join us in DM and tell us which version of iOS you're currently running: https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,0.6,,0,1,0,medium
gold_089,686610,Hi @AppleSupport how do I check the battery health for my iPhone 6s Plus? Can I do it online or over the phone?,battery_charging,battery_charging,0.7651,moderate,0.4176,"Hey @AppleSupport, are we able to do a check of my battery health for my iPhone 6?","@739664 We’re here for you. Are you experiencing a current battery issue? If so, which iOS version are you using, and what’s happening with it?",auto_handle,Thanks for reaching out. We understand your battery is draining quickly. We'd like to look into this with you. Please let us know which iPhone model and iOS version you're using.,1,0.5556,battery,1,1,0,medium
gold_090,2038197,"@AppleSupport iOS 11 Apple Music is supposed to notify about new music releases, but I'm still not getting any. How to enable this? https://t.co/7aUQ6kHY2F",apps_services,software_update,0.4361,weak,0.2044,Hey @115858. Fix your iOS. Bluetooth is supposed to work.,@575292 We want to assist you with any Bluetooth issues you're experiencing. Please meet us in DM so we can help you out! https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.1,ios,1,0,0,high
gold_091,1962795,"@AppleSupport No specific app. Slow to use everything. Cell service was excellent, now doesn't work well in my own home. In the city!",connectivity_calls,hardware_device,0.2656,strong,1.0,"@AppleSupport No specific app. Slow to use everything. Cell service was excellent, now doesn't work well in my own home. In the city!",@581996 Thanks for confirming. DM us any other details and include the country you're in. We'll continue working with you there. https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,,0,1,1,low
gold_092,1533003,"Tendrá solución su #IOS 11.0.3 @115858 ??? No solo los problemas en batería también en aplicaciones, nulas notificaciones, se pasman... mala decisión de actualizarlo 🙎🏻",software_update,software_update,0.7746,weak,0.2746,El soporte de @AppleSupport tras los problemas de batería de IOS 11 no puede ser más lamentable.,@347786 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.125,ios,1,0,0,high
gold_093,1886987,Hi @115858 @AppleSupport can you please tell me how to revert back to the previous version of iOS as the new update is a complete disaster,software_update,software_update,0.8741,moderate,0.4381,"Hi @AppleSupport, can you please tell me how to revert to the previous iOS - the one that worked and wasn’t awful. Thanks",@179139 We want to look into this for you. Please send us DM with additional details and we'll go from there. https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,0.4,"version, update, ios",1,1,0,medium
gold_094,1465049,@4305 and @115858 needs to come up with a fix for the #PushNotification issue on #iOS11 Fast!,apps_services,software_update,0.4342,strong,1.0,@4305 and @115858 needs to come up with a fix for the #PushNotification issue on #iOS11 Fast!,@460054 We'd like to hear more about what's going on. Please DM us more information about what's happening and we'll go from there. https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,"ios, ios11",1,1,1,low
gold_095,553463,"@AppleSupport My Mac is second hand so the update available was Lion, but that doesn’t explain why my emails won’t allow me in even though I know the passwords are right??",account_icloud,software_update,0.3074,weak,0.2571,@AppleSupport Thanks. …but that doesn’t explain why I don’t see the Apple Pay in messages feature.,@781757 That feature hasn't been released in our public iOS versions yet.,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.1875,update,1,0,0,high
gold_096,2072240,@AppleSupport This is what I’m dealing with https://t.co/qUjDkCGWSO,hardware_device,hardware_device,0.7061,strong,0.474,@AppleSupport this is 'suspicios' 🤔 https://t.co/JbDWcTD9Ul,@546084 We're happy to help. Use this to identify and report phishing emails: https://t.co/LNMCdqt6fD Questions? DM us here: https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,0.3333,,0,1,1,low
gold_097,2798397,Anyone else’s iPhone suddenly autocorrecting “it” to “I.T”?? #AskingForAFriend #AskingForMyself @AppleSupport,keyboard_input,keyboard_input,0.7934,weak,0.2544,All these @115858 updates and my phone autocorrecting it to I_T_ still isn’t fixed 🙄,@461644 We want to help today! Which version of iOS shows installed at Settings &gt; General &gt; About?,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.1,autocorrect,1,0,0,high
gold_098,2397963,@AppleSupport how do I fix this? I’m in Bandar Seri Begawan yet the times are off by a minute. https://t.co/ngwpC4zERd,apps_services,hardware_device,0.5373,moderate,0.3501,@AppleSupport how do I fix the i problem?,"@201706 This issue was fixed in iOS 11.1.1. To update to the latest version of iOS, go to Settings &gt; General &gt; Software Update and tap Download and Install. Make sure to back up your iPhone first: https://t.co/4f8hwT5to6",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,0.1429,,0,1,0,medium
gold_099,1926193,@573270 Same with standard 6s. 81% to 33% on a 20 minute bus ride. Care to explain @AppleSupport,battery_charging,hardware_device,0.3335,strong,1.0,@573270 Same with standard 6s. 81% to 33% on a 20 minute bus ride. Care to explain @AppleSupport,@573269 We can definitely look into this with you. Send us a DM and let us know which iOS you're running currently. https://t.co/GDrqU22YpT,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,,0,1,1,low
gold_100,267778,"For the second time in 2 weeks,  the iOS11 update caused my phone to stop working. Guess I'll be making another to the @115858 store.",software_update,software_update,0.8209,strong,1.0,"For the second time in 2 weeks, the iOS11 update caused my phone to stop working. Guess I'll be making another to the @115858 store.",@179848 What's going on with your iPhone? We'd like to provide any help we can. DM us. https://t.co/GDrqU22YpT,auto_handle,Thanks for reaching out. We'd like to help with the software update issue. Similar AppleSupport cases were handled by checking the device and iOS version and understanding what happens during or after the update. Please let us know your device model and current iOS version.,1,1.0,"update, ios, ios11",1,1,1,low
gold_101,1460627,"@AppleSupport notice R3D settings of timeline clip grayed out, and any changes made here apply to the clip above. why? super frustrating https://t.co/g7Xm1qw1Vt",apps_services,hardware_device,0.3603,strong,1.0,"@AppleSupport notice R3D settings of timeline clip grayed out, and any changes made here apply to the clip above. why? super frustrating https://t.co/g7Xm1qw1Vt","@424468 Hey, Matt! Let's get you back to a fun filled day of editing. Reach out to our Pro Apps team here: https://t.co/IBIY3vMgPj https://t.co/GDrqU22YpT",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,,0,1,1,low
gold_102,2403751,#iOS11 @AppleSupport When will my iPhone 7plus start connecting to WiFi ?! Down since I updated my phone 👎🏻,connectivity_calls,software_update,0.9222,moderate,0.3185,@AppleSupport iPhone 7Plus,"@372739 Got it, thanks! So we can look closer into this with you, reach out to us in DM and we'll continue from there. https://t.co/GDrqU22YpT",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,0.2308,"update, ios, ios11",1,1,0,medium
gold_103,666262,"@AppleSupport I’ve restarted multiple times.  As stated in my original tweet, this started immediately after updating my IOS.",apps_services,software_update,0.2767,moderate,0.3299,@AppleSupport Immediately after updating,"@609652 Next, do you see a Snapchat update in App Store &gt; Updates? If so, let us know if the issue persists after updating the app.",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,0.3333,ios,1,1,0,medium
gold_104,2299194,@AppleSupport I’ve been charged almost £200 for a subscription renual for an app I did not authorise... I’ve had to call my bank and stop further payments! Can you contact me immediately!!! - Paige. https://t.co/laokhdu1J5,purchases_billing,purchases_billing,0.8589,weak,0.2387,@AppleSupport hi I need help. I've been charged for an app purchase even though I cancelled the subscription to do a different package help!,"@286322 Thanks for reaching out! For this issue, reach out to our awesome iTunes Advisors by phone or chat here: https://t.co/SDIe7UiyJN",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.2222,"subscription, payment, charged, charge",1,0,0,high
gold_105,1532249,@115858 really forcing people to upgrade. Y’all did two updates and it’s still got my phone running shitty,software_update,software_update,0.8318,weak,0.2283,The new iPhone update got my phone running so slow @AppleSupport,"@201326 Thanks for reaching out, and we'd like to help. What's the exact iOS version on your iPhone? Check here: Settings &gt; General &gt; About.",escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.1667,"update, upgrade",1,0,0,high
gold_106,637512,"@AppleSupport That’s better than nothing. But you still have to swipe pretty far down. I liked it better before, can’t see why there wouldn’t be any room for the clock and video controls while on my 6s there obviously was. Thanks!",apps_services,hardware_device,0.2249,strong,1.0,"@AppleSupport That’s better than nothing. But you still have to swipe pretty far down. I liked it better before, can’t see why there wouldn’t be any room for the clock and video controls while on my 6s there obviously was. Thanks!",@143272 You're welcome. Feel free to reach out to us if you have any further questions. Have a great day!,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,,0,1,1,low
gold_107,2138800,I️ hate this thing. I️ also hate that I’m getting used it. @115858 I️ need you to fix this.,keyboard_input,keyboard_input,0.2432,strong,1.0,I️ hate this thing. I️ also hate that I’m getting used it. @115858 I️ need you to fix this.,@629047 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,1,1.0,,0,1,1,low
gold_108,1252451,"Updated to iOS11 and since then all the videos I stream are looping. Doesn't matter which browser I use. Did a clear cache on Safari etc no luck.
Apple Support - Please enter this as a bug and get it fixed asap! Disappoint @AppleSupport",apps_services,software_update,0.5627,none,0.0,,,escalate,Thanks for reaching out to Apple Support. We'd like to take a closer look at this issue. Please provide more details about what you're experiencing so we can determine the best way to assist you.,0,0.0,"update, ios, ios11",1,0,0,high
